PeakID (cmd=annotatePeaks.pl .Homer.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
113	chr1	9294208	9296212	+	0	NA	intron (NM_004285, intron 1 of 4)	GC_rich|Low_complexity|Low_complexity	347	NM_004285	9563	Hs.463511	NM_004285	ENSG00000049239	H6PD	CORTRD1|G6PDH|GDH	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)	protein-coding
114	chr1	9352383	9354847	+	0	NA	intron (NM_025106, intron 1 of 2)	GC_rich|Low_complexity|Low_complexity	674	NM_025106	80176	Hs.8261	NM_025106	ENSG00000171621	SPSB1	SSB-1|SSB1	splA/ryanodine receptor domain and SOCS box containing 1	protein-coding
115	chr1	9488413	9489889	+	0	NA	promoter-TSS (NR_104623)	promoter-TSS (NR_104623)	-96	NR_104622	100506022	Hs.131775	NR_104622		LOC100506022	-	uncharacterized LOC100506022	ncRNA
116	chr1	9599140	9601692	+	0	NA	intron (NM_032315, intron 1 of 6)	CpG	888	NM_032315	84275	Hs.568613	NM_032315		SLC25A33	BMSC-MCP|PNC1	solute carrier family 25 (pyrimidine nucleotide carrier), member 33	protein-coding
117	chr1	9648355	9650620	+	0	NA	intron (NM_001010866, intron 1 of 5)	CpG	555	NM_001010866	199953	Hs.632365	NM_001010866	ENSG00000188807	TMEM201	NET5	transmembrane protein 201	protein-coding
118	chr1	9686624	9687408	+	0	NA	Intergenic	Intergenic	-24774	NM_005026	5293	Hs.518451	NM_005026	ENSG00000171608	PIK3CD	APDS|IMD14|P110DELTA|PI3K|p110D	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta	protein-coding
119	chr1	9711355	9712408	+	0	NA	promoter-TSS (NM_005026)	promoter-TSS (NM_005026)	91	NM_005026	5293	Hs.518451	NM_005026	ENSG00000171608	PIK3CD	APDS|IMD14|P110DELTA|PI3K|p110D	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta	protein-coding
120	chr1	9746819	9750582	+	0	NA	intron (NM_005026, intron 1 of 23)	AluJr|SINE|Alu	-1068	NR_126368	101929074	Hs.661762	NR_126366	ENSG00000231789	PIK3CD-AS2	-	PIK3CD antisense RNA 2	ncRNA
121	chr1	9882191	9884468	+	0	NA	intron (NM_001302883, intron 1 of 17)	CpG	1255	NM_001009566	22883	Hs.29665	NM_014944	ENSG00000171603	CLSTN1	ALC-ALPHA|CDHR12|CST-1|CSTN1|PIK3CD|XB31alpha|alcalpha1|alcalpha2	calsyntenin 1	protein-coding
122	chr1	9969106	9971894	+	0	NA	promoter-TSS (NM_001012329)	promoter-TSS (NM_001012329)	-184	NM_001012329	56998	Hs.463759	NM_020248	ENSG00000178585	CTNNBIP1	ICAT	catenin, beta interacting protein 1	protein-coding
123	chr1	10002131	10004747	+	0	NA	promoter-TSS (NM_001316973)	promoter-TSS (NM_001316973)	46	NM_001316974	84328	Hs.327252	NM_032368	ENSG00000162441	LZIC	-	leucine zipper and CTNNBIP1 domain containing	protein-coding
124	chr1	10056483	10058573	+	0	NA	intron (NM_052960, intron 1 of 3)	CpG	273	NM_052960	116362	Hs.422688	NM_052960	ENSG00000162444	RBP7	CRBP4|CRBPIV	retinol binding protein 7, cellular	protein-coding
125	chr1	10092386	10094885	+	0	NA	5' UTR (NM_001105562, exon 1 of 28)	5' UTR (NM_001105562, exon 1 of 28)	594	NM_006048	10277	Hs.593974	NM_006048	ENSG00000130939	UBE4B	E4|HDNB1|UBOX3|UFD2|UFD2A	ubiquitination factor E4B	protein-coding
126	chr1	10269698	10272691	+	0	NA	intron (NM_183416, intron 1 of 20)	CpG	430	NM_015074	23095	Hs.97858	NM_015074	ENSG00000054523	KIF1B	CMT2|CMT2A|CMT2A1|HMSNII|KLP|NBLST1	kinesin family member 1B	protein-coding
127	chr1	10458203	10460430	+	0	NA	5' UTR (NM_001304452, exon 1 of 13)	5' UTR (NM_001304452, exon 1 of 13)	141	NM_001304452	5226	Hs.464071	NM_002631	ENSG00000142657	PGD	6PGD	phosphogluconate dehydrogenase	protein-coding
128	chr1	10490003	10491835	+	0	NA	non-coding (NR_036462, exon 1 of 5)	non-coding (NR_036462, exon 1 of 5)	115	NM_001243768	100526739	Hs.412311	NM_198544	ENSG00000175279	APITD1-CORT	-	APITD1-CORT readthrough	protein-coding
129	chr1	10531237	10533079	+	0	NA	intron (NM_213566, intron 1 of 4)	intron (NM_213566, intron 1 of 4)	455	NM_213566	1676	Hs.484782	NM_004401		DFFA	DFF-45|DFF1|ICAD	DNA fragmentation factor, 45kDa, alpha polypeptide	protein-coding
130	chr1	10534507	10536446	+	0	NA	intron (NM_004565, intron 1 of 8)	intron (NM_004565, intron 1 of 8)	473	NM_004565	5195	Hs.149983	NM_004565	ENSG00000142655	PEX14	NAPP2|PBD13A|Pex14p|dJ734G22.2	peroxisomal biogenesis factor 14	protein-coding
131	chr1	10753587	10755380	+	0	NA	intron (NM_001079843, intron 3 of 20)	intron (NM_001079843, intron 3 of 20)	102250	NM_001079843	54897	Hs.439894	NM_017766	ENSG00000130940	CASZ1	CAS11|CST|SRG|ZNF693|dJ734G22.1	castor zinc finger 1	protein-coding
132	chr1	10853323	10857169	+	0	NA	intron (NM_001079843, intron 1 of 20)	CpG	1487	NM_001079843	54897	Hs.439894	NM_017766	ENSG00000130940	CASZ1	CAS11|CST|SRG|ZNF693|dJ734G22.1	castor zinc finger 1	protein-coding
133	chr1	11071870	11074390	+	0	NA	intron (NM_007375, intron 1 of 5)	CpG	451	NM_007375	23435	Hs.300624	NM_007375		TARDBP	ALS10|TDP-43	TAR DNA binding protein	protein-coding
134	chr1	11118119	11121435	+	0	NA	intron (NM_003132, intron 1 of 7)	CpG-426	314	NM_003132	6723	Hs.76244	NM_003132	ENSG00000116649	SRM	PAPT|SPDSY|SPS1|SRML1	spermidine synthase	protein-coding
135	chr1	11158551	11160515	+	0	NA	intron (NM_001001998, intron 1 of 24)	CpG	434	NM_001001998	5394	Hs.632368	NM_002685	ENSG00000171824	EXOSC10	PM-Scl|PM/Scl-100|PMSCL|PMSCL2|RRP6|Rrp6p|p2|p3|p4	exosome component 10	protein-coding
136	chr1	11321112	11323879	+	0	NA	intron (NM_004958, intron 1 of 57)	CpG	113	NM_004958	2475	Hs.338207	NM_004958	ENSG00000198793	MTOR	FRAP|FRAP1|FRAP2|RAFT1|RAPT1	mechanistic target of rapamycin (serine/threonine kinase)	protein-coding
137	chr1	11332605	11334661	+	0	NA	exon (NM_013319, exon 1 of 2)	exon (NM_013319, exon 1 of 2)	378	NM_013319	29914	Hs.522933	NM_013319	ENSG00000120942	UBIAD1	SCCD|TERE1	UbiA prenyltransferase domain containing 1	protein-coding
138	chr1	11538597	11540279	+	0	NA	intron (NM_020780, intron 1 of 20)	CpG	143	NM_020780	57540	Hs.202355	NM_020780	ENSG00000204624	PTCHD2	DISP3	patched domain containing 2	protein-coding
139	chr1	11712759	11716173	+	0	NA	promoter-TSS (NM_033182)	promoter-TSS (NM_033182)	34	NM_001304791	93611	Hs.556006	NM_033182	ENSG00000132879	FBXO44	FBG3|FBX30|FBX6A|Fbx44|Fbxo6a	F-box protein 44	protein-coding
140	chr1	11723686	11725519	+	0	NA	intron (NM_018438, intron 1 of 5)	CpG	452	NM_018438	26270	Hs.464419	NM_018438	ENSG00000116663	FBXO6	FBG2|FBS2|FBX6|Fbx6b	F-box protein 6	protein-coding
141	chr1	11739647	11742079	+	0	NA	intron (NM_001127325, intron 1 of 8)	CpG	408	NM_006341	10459	Hs.19400	NM_006341	ENSG00000116670	MAD2L2	MAD2B|POLZ2|REV7	MAD2 mitotic arrest deficient-like 2 (yeast)	protein-coding
142	chr1	11750265	11752102	+	0	NA	promoter-TSS (NM_198545)	promoter-TSS (NM_198545)	495	NM_001127325	10459	Hs.19400	NM_006341	ENSG00000116670	MAD2L2	MAD2B|POLZ2|REV7	MAD2 mitotic arrest deficient-like 2 (yeast)	protein-coding
143	chr1	11795827	11797460	+	0	NA	intron (NM_001040195, intron 1 of 3)	intron (NM_001040195, intron 1 of 3)	501	NM_020350	57085	Hs.464438	NM_020350	ENSG00000177674	AGTRAP	ATRAP	angiotensin II receptor-associated protein	protein-coding
144	chr1	11864682	11867274	+	0	NA	promoter-TSS (NM_001286)	promoter-TSS (NM_001286)	-175	NM_001256959	1185	Hs.193043	NM_001286	ENSG00000011021	CLCN6	CLC-6	chloride channel, voltage-sensitive 6	protein-coding
145	chr1	11984511	11987107	+	0	NA	exon (NM_138346, exon 1 of 3)	exon (NM_138346, exon 1 of 3)	676	NM_138346	90231	Hs.520094	NM_138346	ENSG00000116685	KIAA2013	-	KIAA2013	protein-coding
146	chr1	11993946	11995562	+	0	NA	promoter-TSS (NM_000302)	promoter-TSS (NM_000302)	30	NM_001316320	5351	Hs.75093	NM_000302	ENSG00000083444	PLOD1	EDS6|LH|LH1|LLH|PLOD	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1	protein-coding
147	chr1	12039662	12041937	+	0	NA	intron (NM_001127660, intron 1 of 17)	intron (NM_001127660, intron 1 of 17)	561	NM_014874	9927	Hs.376681	NM_014874	ENSG00000116688	MFN2	CMT2A|CMT2A2|CPRP1|HSG|MARF	mitofusin 2	protein-coding
148	chr1	12078531	12080845	+	0	NA	intron (NM_021933, intron 1 of 9)	CpG	389	NM_021933	60672	Hs.8595	NM_021933	ENSG00000116691	MIIP	IIP45	migration and invasion inhibitory protein	protein-coding
149	chr1	12140889	12142528	+	0	NA	intron (NM_001281430, intron 1 of 13)	intron (NM_001281430, intron 1 of 13)	18274	NM_001281430	943	Hs.1314	NM_001243	ENSG00000120949	TNFRSF8	CD30|D1S166E|Ki-1	tumor necrosis factor receptor superfamily, member 8	protein-coding
150	chr1	12289706	12291837	+	0	NA	intron (NM_015378, intron 1 of 69)	intron (NM_015378, intron 1 of 69)	675	NM_018156	55187	Hs.439381	NM_015378	ENSG00000048707	VPS13D	-	vacuolar protein sorting 13 homolog D (S. cerevisiae)	protein-coding
151	chr1	12655941	12656569	+	0	NA	intron (NM_004753, intron 1 of 5)	intron (NM_004753, intron 1 of 5)	-17204	NR_106788	102466722		NR_106788	ENSG00000276830	MIR6730	hsa-mir-6730	microRNA 6730	ncRNA
152	chr1	12675686	12680167	+	0	NA	promoter-TSS (NM_004753)	promoter-TSS (NM_004753)	-189	NM_004753	9249	Hs.289347	NM_004753	ENSG00000162496	DHRS3	DD83.1|RDH17|Rsdr1|SDR1|SDR16C1|retSDR1	dehydrogenase/reductase (SDR family) member 3	protein-coding
153	chr1	14026203	14027587	+	0	NA	intron (NM_001135610, intron 1 of 7)	CpG	160	NM_001135610	7799	Hs.371823	NM_012231	ENSG00000116731	PRDM2	HUMHOXY1|KMT8|MTB-ZF|RIZ|RIZ1|RIZ2	PR domain containing 2, with ZNF domain	protein-coding
154	chr1	14075243	14077413	+	0	NA	intron (NM_001135610, intron 6 of 7)	CpG	452	NM_001007257	7799	Hs.371823	NM_012231	ENSG00000116731	PRDM2	HUMHOXY1|KMT8|MTB-ZF|RIZ|RIZ1|RIZ2	PR domain containing 2, with ZNF domain	protein-coding
155	chr1	14155296	14156155	+	0	NA	Intergenic	Intergenic	79849	NM_001007257	7799	Hs.371823	NM_012231	ENSG00000116731	PRDM2	HUMHOXY1|KMT8|MTB-ZF|RIZ|RIZ1|RIZ2	PR domain containing 2, with ZNF domain	protein-coding
156	chr1	15250129	15252005	+	0	NA	exon (NM_001018000, exon 1 of 8)	exon (NM_001018000, exon 1 of 8)	442	NM_001018000	23254	Hs.368823	NM_015209	ENSG00000189337	KAZN	KAZ	kazrin, periplakin interacting protein	protein-coding
157	chr1	15478602	15481710	+	0	NA	promoter-TSS (NM_001136218)	promoter-TSS (NM_001136218)	-73	NM_018022	55092	Hs.465305	NM_018022	ENSG00000171729	TMEM51	C1orf72	transmembrane protein 51	protein-coding
158	chr1	15573391	15574314	+	0	NA	promoter-TSS (NM_052929)	promoter-TSS (NM_052929)	84	NM_052929	114827	Hs.659997	NM_052929	ENSG00000142621	FHAD1	-	forkhead-associated (FHA) phosphopeptide binding domain 1	protein-coding
159	chr1	15735824	15738243	+	0	NA	intron (NM_024329, intron 1 of 3)	CpG	642	NM_024329	79180	Hs.465374	NM_024329	ENSG00000142634	EFHD2	SWS1	EF-hand domain family member D2	protein-coding
160	chr1	15849372	15854909	+	0	NA	promoter-TSS (NM_032996)	promoter-TSS (NM_032996)	-855	NM_032996	842	Hs.329502	NM_001229	ENSG00000132906	CASP9	APAF-3|APAF3|ICE-LAP6|MCH6|PPP1R56	caspase 9	protein-coding
161	chr1	15943130	15945740	+	0	NA	intron (NM_032341, intron 1 of 9)	intron (NM_032341, intron 1 of 9)	482	NM_032341	84301	Hs.718857	NM_032341		DDI2	-	DNA-damage inducible 1 homolog 2	protein-coding
162	chr1	16010183	16012379	+	0	NA	intron (NM_015164, intron 1 of 19)	CpG	454	NM_015164	23207	Hs.646775	NM_015164	ENSG00000116786	PLEKHM2	SKIP	pleckstrin homology domain containing, family M (with RUN domain) member 2	protein-coding
163	chr1	16159699	16163184	+	0	NA	non-coding (NR_024279, exon 2 of 2)	non-coding (NR_024279, exon 2 of 2)	-12918	NM_015001	23013	Hs.744843	NM_015001	ENSG00000065526	SPEN	HIAA0929|MINT|RBM15C|SHARP	spen family transcriptional repressor	protein-coding
164	chr1	16173026	16177090	+	0	NA	promoter-TSS (NR_024279)	promoter-TSS (NR_024279)	-416	NR_024279	729614	Hs.119298	NR_024279	ENSG00000179743	FLJ37453	-	uncharacterized LOC729614	ncRNA
165	chr1	16301223	16303138	+	0	NA	intron (NM_003443, intron 1 of 15)	CpG	447	NM_001287603	7709	Hs.433764	NM_003443	ENSG00000116809	ZBTB17	MIZ-1|ZNF151|ZNF60|pHZ-67	zinc finger and BTB domain containing 17	protein-coding
166	chr1	16339145	16339961	+	0	NA	TTS (NM_014424)	TTS (NM_014424)	5732	NM_014424	27129	Hs.502612	NM_014424	ENSG00000173641	HSPB7	cvHSP	heat shock 27kDa protein family, member 7 (cardiovascular)	protein-coding
167	chr1	16399224	16400438	+	0	NA	intron (NM_182623, intron 1 of 6)	CpG	296	NM_182623	348487	Hs.126825	NM_182623	ENSG00000185519	FAM131C	C1orf117	family with sequence similarity 131, member C	protein-coding
168	chr1	16479490	16484260	+	0	NA	intron (NM_004431, intron 1 of 16)	CpG	707	NM_004431	1969	Hs.171596	NM_004431	ENSG00000142627	EPHA2	ARCC2|CTPA|CTPP1|CTRCT6|ECK	EPH receptor A2	protein-coding
169	chr1	16493888	16494781	+	0	NA	Intergenic	CpG	-11752	NM_004431	1969	Hs.171596	NM_004431	ENSG00000142627	EPHA2	ARCC2|CTPA|CTPP1|CTRCT6|ECK	EPH receptor A2	protein-coding
170	chr1	16532208	16535541	+	0	NA	intron (NM_153213, intron 5 of 15)	CpG-498	5230	NM_153213	128272	Hs.591532	NM_153213	ENSG00000142632	ARHGEF19	WGEF	Rho guanine nucleotide exchange factor 19	protein-coding
171	chr1	16538358	16539332	+	0	NA	intron (NM_153213, intron 1 of 15)	intron (NM_153213, intron 1 of 15)	259	NM_153213	128272	Hs.591532	NM_153213	ENSG00000142632	ARHGEF19	WGEF	Rho guanine nucleotide exchange factor 19	protein-coding
172	chr1	16542515	16544338	+	0	NA	Intergenic	Intergenic	-4322	NM_153213	128272	Hs.591532	NM_153213	ENSG00000142632	ARHGEF19	WGEF	Rho guanine nucleotide exchange factor 19	protein-coding
173	chr1	16562559	16564647	+	0	NA	promoter-TSS (NM_030907)	promoter-TSS (NM_030907)	56	NM_030907	79363	Hs.546430	NM_030907	ENSG00000132881	RSG1	C1orf89	REM2 and RAB-like small GTPase 1	protein-coding
174	chr1	16677092	16679677	+	0	NA	intron (NM_018994, intron 1 of 9)	intron (NM_018994, intron 1 of 9)	602	NM_018994	54455	Hs.522384	NM_018994	ENSG00000037637	FBXO42	Fbx42|JFK	F-box protein 42	protein-coding
175	chr1	16693195	16695409	+	0	NA	intron (NR_073500, intron 1 of 1)	intron (NR_073500, intron 1 of 1)	777	NR_073500	26099	Hs.252967	NM_001114600	ENSG00000055070	SZRD1	C1orf144	SUZ RNA binding domain containing 1	protein-coding
176	chr1	16766759	16768608	+	0	NA	intron (NM_018090, intron 1 of 7)	CpG	516	NM_001145278	55707	Hs.437385	NM_018090	ENSG00000157191	NECAP2	-	NECAP endocytosis associated 2	protein-coding
177	chr1	16824388	16826993	+	0	NA	Intergenic	CpG	-6494	NR_023386	114819	Hs.597881	NR_023386	ENSG00000080947	CROCCP3	CROCCL2|dJ798A10.2	ciliary rootlet coiled-coil, rootletin pseudogene 3	pseudo
178	chr1	16839554	16841542	+	0	NA	Intergenic	Intergenic	-21352	NR_023386	114819	Hs.597881	NR_023386	ENSG00000080947	CROCCP3	CROCCL2|dJ798A10.2	ciliary rootlet coiled-coil, rootletin pseudogene 3	pseudo
179	chr1	16938553	16940645	+	0	NA	intron (NM_017940, intron 1 of 28)	CpG	501	NM_017940	55672	Hs.467587	NM_017940	ENSG00000219481	NBPF1	AB13|AB14|AB23|AD2|NBG|NBPF	neuroblastoma breakpoint family, member 1	protein-coding
180	chr1	16969553	16972033	+	0	NA	Intergenic	Intergenic	-1276	NR_027504	11209	Hs.349110	NR_027504		MST1P2	MSPL-1|MSPL-2|MSPL-3|MSPL1|MSPL2|MSPL3|MSTP1|MSTP2|MSTP3	macrophage stimulating 1 (hepatocyte growth factor-like) pseudogene 2	pseudo
181	chr1	16973886	16974679	+	0	NA	non-coding (NR_027504, exon 7 of 14)	non-coding (NR_027504, exon 7 of 14)	2213	NR_027504	11209	Hs.349110	NR_027504		MST1P2	MSPL-1|MSPL-2|MSPL-3|MSPL1|MSPL2|MSPL3|MSTP1|MSTP2|MSTP3	macrophage stimulating 1 (hepatocyte growth factor-like) pseudogene 2	pseudo
182	chr1	16983858	16984071	+	0	NA	Intergenic	Intergenic	11895	NR_027504	11209	Hs.349110	NR_027504		MST1P2	MSPL-1|MSPL-2|MSPL-3|MSPL1|MSPL2|MSPL3|MSTP1|MSTP2|MSTP3	macrophage stimulating 1 (hepatocyte growth factor-like) pseudogene 2	pseudo
183	chr1	17026402	17028742	+	0	NA	intron (NR_026567, intron 6 of 10)	CpG-519	19080	NR_026567	284729	Hs.548239	NR_026567	ENSG00000268869	ESPNP	dJ1182A14.1	espin pseudogene	pseudo
184	chr1	17033727	17035004	+	0	NA	intron (NR_026567, intron 2 of 10)	CpG-520	12287	NR_026567	284729	Hs.548239	NR_026567	ENSG00000268869	ESPNP	dJ1182A14.1	espin pseudogene	pseudo
185	chr1	17076359	17077276	+	0	NA	Intergenic	Intergenic	14158	NM_001271733	11223	Hs.349110	NM_001271733		MST1L	BRF-1|D1F15S1A|MSPL-7|MSPL7|MST1P9|MSTP7|MSTP9	macrophage stimulating 1-like	protein-coding
186	chr1	17239823	17241745	+	0	NA	Intergenic	CpG	-7661	NM_014675	9696	Hs.309403	NM_014675	ENSG00000058453	CROCC	ROLT	ciliary rootlet coiled-coil, rootletin	protein-coding
187	chr1	17287069	17288084	+	0	NA	exon (NM_014675, exon 27 of 37)	exon (NM_014675, exon 27 of 37)	19597	NM_001135248	4237	Hs.389137	NM_002403	ENSG00000117122	MFAP2	MAGP|MAGP-1|MAGP1	microfibrillar associated protein 2	protein-coding
188	chr1	17305728	17307696	+	0	NA	intron (NM_017459, intron 1 of 8)	CpG	461	NM_001135248	4237	Hs.389137	NM_002403	ENSG00000117122	MFAP2	MAGP|MAGP-1|MAGP1	microfibrillar associated protein 2	protein-coding
189	chr1	17336935	17338886	+	0	NA	intron (NM_022089, intron 1 of 28)	CpG	557	NM_022089	23400	Hs.128866	NM_022089	ENSG00000159363	ATP13A2	CLN12|HSA9947|KRPPD|PARK9	ATPase type 13A2	protein-coding
190	chr1	17379155	17381156	+	0	NA	intron (NM_003000, intron 1 of 7)	MIRc|SINE|MIR	510	NM_003000	6390	Hs.465924	NM_003000	ENSG00000117118	SDHB	CWS2|IP|PGL4|SDH|SDH1|SDH2|SDHIP	succinate dehydrogenase complex subunit B, iron sulfur (Ip)	protein-coding
191	chr1	17763512	17767374	+	0	NA	promoter-TSS (NM_001136204)	promoter-TSS (NM_001136204)	-384	NM_001136204	55920	Hs.380857	NM_018715	ENSG00000179051	RCC2	TD-60	regulator of chromosome condensation 2	protein-coding
192	chr1	17865715	17867777	+	0	NA	intron (NM_018125, intron 1 of 28)	intron (NM_018125, intron 1 of 28)	416	NM_018125	55160	Hs.443460	NM_018125	ENSG00000074964	ARHGEF10L	GrinchGEF	Rho guanine nucleotide exchange factor 10 like	protein-coding
193	chr1	18969926	18970714	+	0	NA	intron (NM_002584, intron 4 of 7)	CpG	12820	NM_002584	5081	Hs.113253	NM_002584	ENSG00000009709	PAX7	HUP1|PAX7B|RMS2	paired box 7	protein-coding
194	chr1	19228011	19230095	+	0	NA	5' UTR (NM_003748, exon 1 of 15)	5' UTR (NM_003748, exon 1 of 15)	240	NM_170726	8659	Hs.77448	NM_003748	ENSG00000159423	ALDH4A1	ALDH4|P5CD|P5CDh	aldehyde dehydrogenase 4 family, member A1	protein-coding
195	chr1	19252725	19254544	+	0	NA	intron (NM_001136265, intron 1 of 8)	MIRc|SINE|MIR	-24341	NM_003748	8659	Hs.77448	NM_003748	ENSG00000159423	ALDH4A1	ALDH4|P5CD|P5CDh	aldehyde dehydrogenase 4 family, member A1	protein-coding
196	chr1	19281562	19283848	+	0	NA	exon (NM_001136265, exon 1 of 9)	exon (NM_001136265, exon 1 of 9)	121	NM_001136265	126917	Hs.466625	NM_001136265	ENSG00000169991	IFFO2	-	intermediate filament family orphan 2	protein-coding
197	chr1	19535197	19538135	+	0	NA	promoter-TSS (NM_020765)	promoter-TSS (NM_020765)	80	NM_020765	23352	Hs.148078	NM_020765	ENSG00000127481	UBR4	RBAF600|ZUBR1|p600	ubiquitin protein ligase E3 component n-recognin 4	protein-coding
198	chr1	19576791	19580636	+	0	NA	promoter-TSS (NM_015047)	promoter-TSS (NM_015047)	638	NM_016183	51154	Hs.463797	NM_016183	ENSG00000053372	MRTO4	C1orf33|MRT4|dJ657E11.4	MRT4 homolog, ribosome maturation factor	protein-coding
199	chr1	19637277	19640234	+	0	NA	promoter-TSS (NM_001040126)	promoter-TSS (NM_001040126)	15	NM_001040125	54896	Hs.647620	NM_017765	ENSG00000040487	PQLC2	-	PQ loop repeat containing 2	protein-coding
200	chr1	19810086	19813772	+	0	NA	promoter-TSS (NM_001282162)	promoter-TSS (NM_001282162)	206	NM_001206540	832	Hs.432760	NM_004930	ENSG00000077549	CAPZB	CAPB|CAPPB|CAPZ	capping protein (actin filament) muscle Z-line, beta	protein-coding
201	chr1	19922693	19925075	+	0	NA	intron (NM_001204089, intron 1 of 3)	CpG	413	NM_001204082	440574	Hs.466662	NM_001032363	ENSG00000173436	MINOS1	C1orf151|MIO10|Mic10	mitochondrial inner membrane organizing system 1	protein-coding
202	chr1	19970033	19972997	+	0	NA	promoter-TSS (NM_001204086)	promoter-TSS (NM_001204086)	-351	NM_001204085	4681	Hs.654502	NM_005380	ENSG00000158747	NBL1	D1S1733E|DAN|DAND1|NB|NO3	neuroblastoma 1, DAN family BMP antagonist	protein-coding
203	chr1	19991041	19992058	+	0	NA	promoter-TSS (NM_000871)	promoter-TSS (NM_000871)	-231	NM_000871	3362	Hs.22180	NM_000871		HTR6	5-HT6|5-HT6R	5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled	protein-coding
204	chr1	20125292	20127405	+	0	NA	promoter-TSS (NM_181719)	promoter-TSS (NM_181719)	62	NM_181719	255104	Hs.656313	NM_181719	ENSG00000162542	TMCO4	-	transmembrane and coiled-coil domains 4	protein-coding
205	chr1	20208427	20210452	+	0	NA	intron (NM_015207, intron 1 of 7)	CpG	551	NM_015207	23252	Hs.374987	NM_015207	ENSG00000169914	OTUD3	DUBA4	OTU deubiquitinase 3	protein-coding
206	chr1	20810449	20813732	+	0	NA	5' UTR (NM_018584, exon 1 of 2)	5' UTR (NM_018584, exon 1 of 2)	638	NM_018584	55450	Hs.731383	NM_018584	ENSG00000162545	CAMK2N1	PRO1489	calcium/calmodulin-dependent protein kinase II inhibitor 1	protein-coding
207	chr1	20833232	20835521	+	0	NA	intron (NM_024544, intron 1 of 3)	intron (NM_024544, intron 1 of 3)	298	NM_024544	79594	Hs.10101	NM_024544	ENSG00000090432	MUL1	C1orf166|GIDE|MAPL|MULAN|RNF218	mitochondrial E3 ubiquitin protein ligase 1	protein-coding
208	chr1	20914827	20916593	+	0	NA	exon (NM_001785, exon 1 of 4)	exon (NM_001785, exon 1 of 4)	266	NM_001785	978	Hs.466910	NM_001785	ENSG00000158825	CDA	CDD	cytidine deaminase	protein-coding
209	chr1	20959849	20961960	+	0	NA	TTS (NR_106732)	TTS (NR_106732)	732	NR_106732	102464833		NR_106732	ENSG00000273695	MIR6084	hsa-mir-6084	microRNA 6084	ncRNA
210	chr1	20986213	20989125	+	0	NA	intron (NM_005216, intron 1 of 10)	CpG	368	NM_005216	1650	Hs.523145	NM_005216	ENSG00000244038	DDOST	AGER1|CDG1R|OKSWcl45|OST|OST48|WBP1	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic)	protein-coding
211	chr1	21022768	21023986	+	0	NA	intron (NM_001287212, intron 6 of 14)	intron (NM_001287212, intron 6 of 14)	21133	NM_020816	57576	Hs.130411	NM_020816	ENSG00000117245	KIF17	KIF17B|KIF3X|KLP-2|OSM-3	kinesin family member 17	protein-coding
212	chr1	21057349	21060241	+	0	NA	5' UTR (NM_001103160, exon 1 of 9)	5' UTR (NM_001103160, exon 1 of 9)	338	NM_001103161	400745	Hs.591522	NM_001103160	ENSG00000189410	SH2D5	-	SH2 domain containing 5	protein-coding
213	chr1	21111482	21114656	+	0	NA	intron (NM_016287, intron 1 of 12)	CpG	112	NM_016287	50809	Hs.142442	NM_016287	ENSG00000127483	HP1BP3	HP1-BP74|HP1BP74	heterochromatin protein 1, binding protein 3	protein-coding
